Date,Open,High,Low,Close,Adj Close,Volume
"Nov 05, 2025",303.45,308.54,302.50,305.11,303.94,"4,711,100"
"Nov 04, 2025",305.82,309.23,303.07,304.20,303.03,"3,938,200"
"Nov 03, 2025",309.10,311.69,306.28,308.62,307.44,"3,297,600"
"Oct 31, 2025",311.74,314.92,307.18,308.95,307.76,"4,023,800"
"Oct 30, 2025",310.41,314.84,308.50,310.75,309.56,"3,782,000"
"Oct 29, 2025",310.00,315.12,309.02,314.28,313.07,"3,596,800"
"Oct 28, 2025",312.10,316.67,309.45,309.79,308.60,"3,058,100"
"Oct 27, 2025",307.49,313.33,304.50,312.84,311.64,"4,244,400"
"Oct 24, 2025",309.19,310.30,303.57,303.87,302.70,"3,586,800"
"Oct 23, 2025",299.15,307.09,298.68,306.39,305.21,"3,091,000"
"Oct 22, 2025",307.60,309.00,294.80,297.89,296.75,"5,212,200"
"Oct 21, 2025",307.30,316.53,303.03,306.63,305.45,"6,726,600"
"Oct 20, 2025",303.86,305.43,301.67,302.68,301.52,"5,058,700"
"Oct 17, 2025",298.17,302.96,297.34,300.14,298.99,"3,949,300"
"Oct 16, 2025",301.67,303.05,297.76,299.84,298.69,"2,623,100"
"Oct 15, 2025",301.54,304.95,295.72,300.12,298.97,"2,773,000"
"Oct 14, 2025",294.84,302.29,292.01,300.08,298.93,"2,516,500"
"Oct 13, 2025",296.00,297.58,293.12,297.53,296.39,"2,604,100"
"Oct 10, 2025",299.00,300.00,291.49,291.49,290.37,"3,380,000"
"Oct 09, 2025",302.71,304.00,296.10,299.35,298.20,"4,292,500"
"Oct 08, 2025",303.40,304.67,299.59,302.56,301.40,"2,658,600"
"Oct 07, 2025",298.07,302.74,297.89,301.74,300.58,"2,578,800"
"Oct 06, 2025",295.80,299.29,294.75,298.22,297.08,"2,759,800"
"Oct 03, 2025",299.46,302.75,295.46,297.00,295.86,"2,817,000"
"Oct 02, 2025",302.31,303.44,296.80,299.45,298.30,"2,508,200"
"Oct 01, 2025",296.38,302.23,295.03,300.88,299.73,"3,633,300"
"Sep 30, 2025",294.71,301.47,293.91,300.82,299.67,"4,112,400"
